time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.000315311745776,3.623860949986124e-06,8.249331727938625e-06,0.0,0.0,0.0,0.031531174577712345,-0.002692159337877877,-0.00406185468187532,0.0,435.3689818469175,434.3484268651674,435.83599655916527,435.16057564711673
0.04,-1.8780155125936796e-08,8.249961698326356e-09,10.001260502084737,6.283142157574685,6.283123659072389,0.0,-1.8780155125936797e-06,8.249961698326355e-07,0.06298785931835155,0.001068085575882196,0.0007004251740554595,0.0,434.2530444921825,435.44968273980356,434.8949479213882,435.83867648585357
0.06,8.954876992011347e-08,-7.736294770317723e-08,10.002924742878788,6.283164266459199,6.283138351757646,0.0,1.2710908017198707e-05,-9.386287109982994e-06,0.10343622008677206,-0.00015434887670241933,0.0018701959002368975,0.0,443.55559059493817,443.8436286454309,443.69602131211434,443.39487081459026
0.08,4.5006659325115266e-07,-3.1272155973586273e-07,10.005295309426346,6.283169886935482,6.283176684750067,0.0,2.3340874315905214e-05,-1.4149574093285556e-05,0.13362043466908077,0.004018768379897318,0.003233335230086015,0.0,433.72080381735884,434.0640226848053,433.3877978002988,434.4386034882348
0.1,9.396453116026024e-07,-6.364189462579075e-07,10.008645488522852,6.634727354182246e-05,5.935948281532433e-05,0.0,2.561699751923976e-05,-1.822016455891892e-05,0.20139747498145816,0.0023501461650794397,0.0006583759166336029,0.0,469.23804580235213,468.6380261603196,468.35974996032047,467.97024882801156
0.12000000000000001,1.3029536485237949e-06,-8.342466534092156e-07,10.013222100170037,0.00013554772461876752,8.425500330400126e-05,0.0,1.0713836172879468e-05,-1.5626061562119005e-06,0.2562636897369069,-0.004312815304986193,-0.004184764006233155,0.0,458.3119612336613,457.15588817656925,457.00760962190674,455.4117970236031
0.14,1.3275494623970455e-06,-5.603440271074971e-07,10.018636645643067,5.934085981884607e-05,2.7899381631613096e-06,0.0,-8.254254785554414e-06,2.8952868786383756e-05,0.28519085756610796,0.0001703624296404225,-0.006296737009773458,0.0,432.1943113088671,431.6601380408586,433.0114118455845,434.1412564728793
0.16,1.1555413701973895e-06,1.659626864911181e-07,10.024859878446257,7.550759026830889e-05,6.28306466726041,0.0,-8.946554434411177e-06,4.367780257347776e-05,0.33713242275296673,0.005221992237292302,-0.00853498760184592,0.0,453.705483895349,453.1662502851976,454.6415111215392,455.8539237605981
0.18,1.2634618678545801e-06,1.2190569267178726e-06,10.032018277128458,0.00020574085408320286,6.2829513416433045,0.0,1.9738604200130255e-05,6.163162144919769e-05,0.378707445467125,-0.001960405561337605,0.002177074284856138,0.0,442.93411486738927,445.5688300394031,446.197335457675,444.4349801614188
0.19999999999999998,2.120006112050393e-06,2.857755145779302e-06,10.039604102035947,0.00017418824106840702,6.2829949322060905,0.0,6.591582021945106e-05,0.00010223820045694525,0.3798750452818015,0.0019525212747585263,0.002490369957784012,0.0,405.2083953743921,405.29282030799004,404.79149665333523,405.8463541900744
0.21999999999999997,3.8805365087311786e-06,5.3071336568942945e-06,10.047562460680206,0.00021615068162805784,6.283053645505186,0.0,0.00011013721944862746,0.00014269965065455398,0.4159608191441486,0.004365824017620706,-0.0017300328523369548,0.0,440.6085160073427,439.5606394462676,438.92154115417696,439.5218424280861
0.23999999999999996,6.379779988002533e-06,8.647893082647703e-06,10.056171654313246,0.0003036327877170564,6.283020831042695,0.0,0.00013978712847850797,0.0001913762919207868,0.44495854415984304,0.003790279516666002,-0.0036201093356174347,0.0,433.25714177110285,432.7802592762931,432.9059588128123,432.7605900650313
0.25999999999999995,9.557164202017638e-06,1.3179952232073817e-05,10.06542917178654,0.00046777530593100636,6.282968101587581,0.0,0.00017795129292300245,0.00026182962302182455,0.4807932031695234,0.017082151309645435,0.002652486873305316,0.0,438.6922994468192,440.25188259617704,437.8068587269604,441.11155128676154
0.27999999999999997,1.36465586128742e-05,1.9558749672904776e-05,10.075524816954541,0.0008160330770428104,6.283023142792967,0.0,0.0002309881481626537,0.0003760501210612715,0.5287713136305389,0.013444914743455147,0.004648216272906852,0.0,450.32967429400986,450.81358227781226,451.55222243204645,450.6711687170289
0.3,1.8654565910274897e-05,2.903345020618853e-05,10.086532383547201,0.0010864494369160482,6.283130633948982,0.0,0.0002698125815774162,0.0005714199322671039,0.5719853456353458,0.011702465315751852,-0.0007419285408184501,0.0,447.5912456016593,446.2734081648603,446.2239303977566,445.7969491589068
0.32,2.4186588577435222e-05,4.315985319848925e-05,10.098493412007143,0.001340705143372034,6.283124362228483,0.0,0.00028338968513861603,0.0008412203669629679,0.6241175003587643,0.018059571597823034,-0.004881215995665826,0.0,454.99284503257803,453.9977489256664,454.2315941966579,455.7580812157795
0.34,2.998834619842853e-05,6.293128765625423e-05,10.111211877959061,0.0017026320131998673,6.283064739948262,0.0,0.00029678607696071493,0.0011359230788135306,0.6477290948330054,0.019272368259262464,-0.013599247848506208,0.0,429.2491350590797,427.0243006978732,427.5738017488782,427.88356362585944
0.36000000000000004,3.624490081370214e-05,9.018050572215776e-05,10.124865488240761,0.002143039903710786,6.282809932325156,0.0,0.00032886938456664635,0.0015889987277768235,0.717631933337177,0.00878804421566996,-0.007737962347176212,0.0,469.81358839634447,471.1748963751774,472.3127423431587,469.88098861970286
